target,feature_set,variant,model_a,model_b,n_paired,median_a,median_b,median_diff,p,underpowered,p_holm,winner
lt1,EMG+NIRS,with_abs,v0101,v0107,18,4.5657,4.5403,0.1614,0.5798,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0102,v0107,18,5.776,4.5403,1.3233,0.4683,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0103,v0105,18,5.0621,4.8376,-0.0732,0.7987,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0103,v0107,18,5.0621,4.5403,0.6519,0.9323,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0104,v0106a,18,4.3175,4.709,-0.2543,0.0665,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0104,v0106b,18,4.3175,4.5404,0.0863,0.5798,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0104,v0107,18,4.3175,4.5403,0.2229,0.4951,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0105,v0106a,18,4.8376,4.709,0.1817,0.0599,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0105,v0107,18,4.8376,4.5403,0.845,0.7987,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0106a,v0106c,18,4.709,4.775,-0.1163,0.8317,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0106a,v0107,18,4.709,4.5403,0.6972,0.7987,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0106b,v0106c,18,4.5404,4.775,-0.4028,0.0599,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0106b,v0107,18,4.5404,4.5403,0.2061,0.5509,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0106c,v0107,18,4.775,4.5403,0.5333,0.7337,False,1.0,n.s.
lt1,EMG+NIRS+HRV,noabs,v0011,v0102,18,2.3815,5.6429,-2.7438,0.0,False,0.0003,v0011
lt1,EMG+NIRS+HRV,noabs,v0011,v0105,18,2.3815,4.8456,-2.4234,0.0,False,0.0003,v0011
lt1,EMG+NIRS+HRV,noabs,v0101,v0103,18,4.545,5.0093,-0.3536,0.0,False,0.0003,v0101
lt1,EMG+NIRS+HRV,noabs,v0011,v0101,18,2.3815,4.545,-2.0153,0.0,False,0.0006,v0011
lt1,EMG+NIRS+HRV,noabs,v0011,v0103,18,2.3815,5.0093,-2.4129,0.0,False,0.0006,v0011
lt1,EMG+NIRS+HRV,noabs,v0011,v0106c,18,2.3815,4.6045,-2.0849,0.0,False,0.0006,v0011
lt1,EMG+NIRS+HRV,noabs,v0011,v0106a,18,2.3815,4.5448,-2.1537,0.0,False,0.0009,v0011
lt1,EMG+NIRS+HRV,noabs,v0011,v0104,18,2.3815,4.3149,-1.7112,0.0,False,0.0014,v0011
lt1,EMG+NIRS+HRV,noabs,v0104,v0105,18,4.3149,4.8456,-0.6626,0.0001,False,0.0028,v0104
lt1,EMG+NIRS+HRV,noabs,v0011,v0106b,18,2.3815,4.3178,-1.5269,0.0001,False,0.0052,v0011
lt1,EMG+NIRS+HRV,noabs,v0102,v0106b,18,5.6429,4.3178,1.5128,0.0001,False,0.0052,v0106b
lt1,EMG+NIRS+HRV,noabs,v0102,v0107,18,5.6429,2.7131,2.5538,0.0001,False,0.0052,v0107
lt1,EMG+NIRS+HRV,noabs,v0102,v0104,18,5.6429,4.3149,1.1147,0.0002,False,0.0063,v0104
lt1,EMG+NIRS+HRV,noabs,v0103,v0104,18,5.0093,4.3149,0.6144,0.0003,False,0.0081,v0104
lt1,EMG+NIRS+HRV,noabs,v0105,v0106b,18,4.8456,4.3178,1.053,0.0007,False,0.0208,v0106b
lt1,EMG+NIRS+HRV,noabs,v0103,v0106b,18,5.0093,4.3178,0.6312,0.0016,False,0.0474,v0106b
lt1,EMG+NIRS+HRV,noabs,v0103,v0107,18,5.0093,2.7131,1.8357,0.0016,False,0.0474,v0107
lt1,EMG+NIRS+HRV,noabs,v0104,v0106c,18,4.3149,4.6045,-0.4282,0.0016,False,0.0474,v0104
lt1,EMG+NIRS+HRV,noabs,v0105,v0107,18,4.8456,2.7131,2.3497,0.0016,False,0.0474,v0107
lt1,EMG+NIRS+HRV,noabs,v0102,v0106a,18,5.6429,4.5448,0.8487,0.0019,False,0.0502,n.s.
lt1,EMG+NIRS+HRV,noabs,v0106a,v0107,18,4.5448,2.7131,1.3789,0.0023,False,0.0584,n.s.
lt1,EMG+NIRS+HRV,noabs,v0106c,v0107,18,4.6045,2.7131,1.8655,0.0028,False,0.0674,n.s.
lt1,EMG+NIRS+HRV,noabs,v0102,v0106c,18,5.6429,4.6045,0.6541,0.0034,False,0.0774,n.s.
lt1,EMG+NIRS+HRV,noabs,v0101,v0107,18,4.545,2.7131,1.4793,0.004,False,0.0881,n.s.
lt1,EMG+NIRS+HRV,noabs,v0106b,v0106c,18,4.3178,4.6045,-0.6711,0.004,False,0.0881,n.s.
lt1,EMG+NIRS+HRV,noabs,v0101,v0102,18,4.545,5.6429,-0.9208,0.0056,False,0.112,n.s.
lt1,EMG+NIRS+HRV,noabs,v0105,v0106c,18,4.8456,4.6045,0.2094,0.0066,False,0.125,n.s.
lt1,EMG+NIRS+HRV,noabs,v0103,v0106a,18,5.0093,4.5448,0.4756,0.0077,False,0.1384,n.s.
lt1,EMG+NIRS+HRV,noabs,v0106a,v0106b,18,4.5448,4.3178,0.4153,0.0104,False,0.1769,n.s.
lt1,EMG+NIRS+HRV,noabs,v0103,v0106c,18,5.0093,4.6045,0.1736,0.0139,False,0.2219,n.s.
lt1,EMG+NIRS+HRV,noabs,v0105,v0106a,18,4.8456,4.5448,0.4227,0.0139,False,0.2219,n.s.
lt1,EMG+NIRS+HRV,noabs,v0106b,v0107,18,4.3178,2.7131,1.092,0.0159,False,0.223,n.s.
lt1,EMG+NIRS+HRV,noabs,v0101,v0104,18,4.545,4.3149,0.3821,0.0208,False,0.237,n.s.
lt1,EMG+NIRS+HRV,noabs,v0101,v0105,18,4.545,4.8456,-0.4899,0.0208,False,0.237,n.s.
lt1,EMG+NIRS+HRV,noabs,v0101,v0106b,18,4.545,4.3178,0.541,0.0237,False,0.237,n.s.
lt1,EMG+NIRS+HRV,noabs,v0102,v0105,18,5.6429,4.8456,0.3565,0.0182,False,0.237,n.s.
lt1,EMG+NIRS+HRV,noabs,v0104,v0107,18,4.3149,2.7131,1.3906,0.0182,False,0.237,n.s.
lt1,EMG+NIRS+HRV,noabs,v0102,v0103,18,5.6429,5.0093,0.5609,0.0539,False,0.3862,n.s.
lt1,EMG+NIRS+HRV,noabs,v0106a,v0106c,18,4.5448,4.6045,-0.2533,0.0483,False,0.3862,n.s.
lt1,EMG+NIRS+HRV,noabs,v0011,v0107,18,2.3815,2.7131,-0.1149,0.2288,False,1.0,n.s.
lt1,EMG+NIRS+HRV,noabs,v0101,v0106a,18,4.545,4.5448,0.1917,0.4171,False,1.0,n.s.
lt1,EMG+NIRS+HRV,noabs,v0101,v0106c,18,4.545,4.6045,-0.2064,0.2462,False,1.0,n.s.
lt1,EMG+NIRS+HRV,noabs,v0103,v0105,18,5.0093,4.8456,-0.0955,0.8317,False,1.0,n.s.
lt1,EMG+NIRS+HRV,noabs,v0104,v0106a,18,4.3149,4.5448,-0.1199,0.1674,False,1.0,n.s.
lt1,EMG+NIRS+HRV,noabs,v0104,v0106b,18,4.3149,4.3178,0.0907,0.2837,False,1.0,n.s.
lt1,EMG+NIRS+HRV,with_abs,v0011,v0102,18,2.2293,5.6356,-2.733,0.0,False,0.0003,v0011
lt1,EMG+NIRS+HRV,with_abs,v0101,v0103,18,4.5351,5.0381,-0.3402,0.0,False,0.0007,v0101
lt1,EMG+NIRS+HRV,with_abs,v0011,v0103,18,2.2293,5.0381,-2.5038,0.0,False,0.001,v0011
lt1,EMG+NIRS+HRV,with_abs,v0011,v0105,18,2.2293,4.8584,-2.5073,0.0,False,0.001,v0011
lt1,EMG+NIRS+HRV,with_abs,v0011,v0106c,18,2.2293,4.6372,-2.1235,0.0,False,0.001,v0011
lt1,EMG+NIRS+HRV,with_abs,v0011,v0101,18,2.2293,4.5351,-2.0545,0.0,False,0.0015,v0011
lt1,EMG+NIRS+HRV,with_abs,v0011,v0104,18,2.2293,4.5355,-1.9003,0.0,False,0.0015,v0011
lt1,EMG+NIRS+HRV,with_abs,v0011,v0106a,18,2.2293,4.3037,-1.8724,0.0,False,0.0015,v0011
lt1,EMG+NIRS+HRV,with_abs,v0102,v0106b,18,5.6356,4.0664,1.6317,0.0001,False,0.002,v0106b
lt1,EMG+NIRS+HRV,with_abs,v0011,v0106b,18,2.2293,4.0664,-1.2235,0.0001,False,0.0038,v0011
lt1,EMG+NIRS+HRV,with_abs,v0102,v0104,18,5.6356,4.5355,1.261,0.0003,False,0.0088,v0104
