version,family,variant,target,feature_set,inner_model,raw_mae_min,kalman_mae_min,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,n_windows,loso_n_subjects,loso_mae_mean,loso_mae_median,loso_mae_std,loso_mae_iqr,loso_r2_median,loso_neg_r2_share,gap_mae,kalman_gain,best_sigma_obs
v0106a,wavelet,noabs,lt2,EMG,,5.5576,5.7659,5.7659,5.928,6.1438,6.8723,-0.175,0.414,3634,17,5.0612,4.4135,1.819,2.3683,-0.326,0.706,-0.4964,-0.2083,30.0
v0106a,wavelet,noabs,lt1,NIRS,,5.0776,5.0526,5.0553,5.0526,5.0641,5.1929,0.101,0.581,4130,18,4.6415,4.3158,1.6995,2.9045,0.052,0.333,-0.4361,0.025,50.0
v0106a,wavelet,noabs,lt2,NIRS,,5.7306,5.9372,5.9372,6.0979,6.3121,7.0339,-0.237,0.261,3634,17,5.2242,4.7815,1.8555,2.1175,-0.327,0.824,-0.5064,-0.2066,30.0
v0106a,wavelet,noabs,lt1,EMG+NIRS,,5.2628,5.2224,5.2321,5.2224,5.2237,5.3196,0.073,0.465,4130,18,4.8673,4.7944,1.582,2.6091,-0.042,0.556,-0.3955,0.0404,50.0
v0106a,wavelet,noabs,lt2,EMG+NIRS,,5.5928,5.7976,5.7976,5.9555,6.1638,6.867,-0.179,0.438,3634,17,5.0875,4.6177,1.8395,1.99,-0.294,0.706,-0.5053,-0.2048,30.0
v0106a,wavelet,noabs,lt1,EMG+NIRS+HRV,,5.2096,5.1708,5.1782,5.1708,5.1767,5.2921,0.07,0.445,4130,18,4.7835,4.5448,1.6997,2.6643,0.01,0.5,-0.4261,0.0388,50.0
v0106a,wavelet,noabs,lt2,EMG+NIRS+HRV,,5.4627,5.6898,5.6898,5.864,6.0926,6.8532,-0.151,0.49,3634,17,4.9599,4.7119,1.8444,2.2398,-0.262,0.706,-0.5028,-0.2271,30.0
v0106b,wavelet,with_abs,lt1,EMG,,5.3244,5.2299,5.2586,5.2354,5.2299,5.3436,0.057,0.277,4130,18,4.9429,4.6393,1.6321,2.4569,-0.08,0.667,-0.3815,0.0945,75.0
v0106b,wavelet,with_abs,lt2,EMG,,5.0247,5.0365,5.0365,5.0579,5.0997,5.3306,0.134,0.372,3634,17,4.6643,4.7364,1.3614,1.244,-0.202,0.647,-0.3604,-0.0118,30.0
v0106b,wavelet,with_abs,lt1,NIRS,,5.1836,5.1025,5.1284,5.1085,5.1025,5.1945,0.053,0.43,4130,18,4.754,4.4423,1.6797,2.5773,-0.006,0.556,-0.4296,0.0811,75.0
v0106b,wavelet,with_abs,lt2,NIRS,,4.6416,4.7672,4.7672,4.866,4.999,5.4549,0.193,0.574,3634,17,4.1662,3.9291,1.6327,2.0712,0.121,0.412,-0.4754,-0.1256,30.0
v0106b,wavelet,with_abs,lt1,EMG+NIRS,,4.9544,4.9066,4.912,4.9066,4.9224,5.0857,0.155,0.435,4130,18,4.5997,4.5404,1.5209,2.3116,0.036,0.444,-0.3547,0.0478,50.0
v0106b,wavelet,with_abs,lt2,EMG+NIRS,,4.8082,4.8532,4.8532,4.8884,4.9375,5.1398,0.221,0.46,3634,17,4.5116,4.639,1.3805,1.7534,-0.155,0.588,-0.2966,-0.045,30.0
v0106b,wavelet,with_abs,lt1,EMG+NIRS+HRV,,4.5684,4.5663,4.5663,4.592,4.6464,4.9168,0.269,0.585,4130,18,4.1959,4.0664,1.6137,2.645,0.17,0.333,-0.3725,0.0021,30.0
v0106b,wavelet,with_abs,lt2,EMG+NIRS+HRV,,4.33,4.4135,4.4135,4.4752,4.5562,4.8439,0.354,0.564,3634,17,4.1335,4.0465,1.2639,1.2763,0.03,0.471,-0.1965,-0.0835,30.0
v0106b,wavelet,noabs,lt1,EMG,,5.1508,5.0756,5.0922,5.0756,5.0787,5.2135,0.106,0.387,4130,18,4.806,4.5716,1.5022,2.5333,-0.035,0.556,-0.3448,0.0752,50.0
v0106b,wavelet,noabs,lt2,EMG,,5.1461,5.1626,5.1626,5.1837,5.2226,5.4341,0.09,0.317,3634,17,4.758,4.9822,1.4766,1.7951,-0.119,0.647,-0.3881,-0.0165,30.0
v0106b,wavelet,noabs,lt1,NIRS,,5.2387,5.1601,5.1851,5.1652,5.1601,5.2509,0.038,0.378,4130,18,4.78,4.3777,1.7488,2.9033,0.001,0.5,-0.4587,0.0786,75.0
v0106b,wavelet,noabs,lt2,NIRS,,4.7228,4.8574,4.8574,4.9598,5.0925,5.5434,0.172,0.62,3634,17,4.2348,3.7756,1.6528,2.5957,0.092,0.235,-0.488,-0.1346,30.0
v0106b,wavelet,noabs,lt1,EMG+NIRS,,5.0262,4.9823,4.9874,4.9823,4.9985,5.1648,0.145,0.429,4130,18,4.6771,4.7754,1.4623,2.1918,-0.011,0.556,-0.3491,0.0439,50.0
v0106b,wavelet,noabs,lt2,EMG+NIRS,,4.8753,4.9134,4.9134,4.9434,4.986,5.1753,0.213,0.445,3634,17,4.5808,4.8684,1.4086,1.8368,-0.157,0.588,-0.2945,-0.0381,30.0
v0106b,wavelet,noabs,lt1,EMG+NIRS+HRV,,4.6857,4.6813,4.6813,4.7037,4.7525,5.0022,0.239,0.574,4130,18,4.3173,4.3178,1.5879,2.5856,0.099,0.333,-0.3684,0.0044,30.0
v0106b,wavelet,noabs,lt2,EMG+NIRS+HRV,,4.5126,4.5712,4.5712,4.6164,4.6761,4.904,0.313,0.524,3634,17,4.3146,4.3384,1.3346,1.115,0.012,0.471,-0.198,-0.0586,30.0
v0106c,wavelet,with_abs,lt1,EMG,,5.4262,5.3837,5.3941,5.3837,5.386,5.4945,0.005,0.362,4130,18,4.9987,4.7592,1.6578,2.7277,-0.042,0.556,-0.4275,0.0425,50.0
v0106c,wavelet,with_abs,lt2,EMG,,5.633,5.7986,5.7986,5.9302,6.1087,6.7383,-0.182,0.446,3634,17,5.1395,4.6965,1.7668,2.2855,-0.319,0.765,-0.4935,-0.1656,30.0
v0106c,wavelet,with_abs,lt1,NIRS,,5.3572,5.3082,5.3216,5.3089,5.3082,5.4062,0.02,0.583,4130,18,4.915,4.5872,1.6969,2.8908,0.01,0.444,-0.4422,0.049,75.0
v0106c,wavelet,with_abs,lt2,NIRS,,5.7111,5.8862,5.8862,6.0241,6.2102,6.8613,-0.218,0.409,3634,17,5.2136,4.746,1.8134,2.0432,-0.355,0.824,-0.4975,-0.1751,30.0
v0106c,wavelet,with_abs,lt1,EMG+NIRS,,5.4002,5.3601,5.3694,5.3601,5.3636,5.4749,0.016,0.438,4130,18,4.975,4.775,1.6364,2.6896,-0.025,0.611,-0.4252,0.0401,50.0
