feature_set,target,model,subject_id,mae_min,r2
EMG,lt2,"EN(α=1.0,l1=0.5)",S011,4.0208,-0.096
EMG,lt2,"EN(α=1.0,l1=0.5)",S012,2.4418,0.538
EMG,lt2,"EN(α=1.0,l1=0.5)",S013,8.9432,-1.507
EMG,lt2,"EN(α=1.0,l1=0.5)",S014,2.1429,0.726
EMG,lt2,"EN(α=1.0,l1=0.5)",S016,2.329,0.332
EMG,lt2,"EN(α=1.0,l1=0.5)",S017,2.9615,0.49
EMG,lt2,"EN(α=1.0,l1=0.5)",S018,1.7879,-0.214
EMG,lt2,"EN(α=1.0,l1=0.5)",S019,8.2197,-0.184
EMG,lt2,"EN(α=1.0,l1=0.9)",S001,2.0003,0.804
EMG,lt2,"EN(α=1.0,l1=0.9)",S002,5.1725,-1.571
EMG,lt2,"EN(α=1.0,l1=0.9)",S003,6.4595,-1.601
EMG,lt2,"EN(α=1.0,l1=0.9)",S004,8.0623,-13.564
EMG,lt2,"EN(α=1.0,l1=0.9)",S005,8.3967,-1.476
EMG,lt2,"EN(α=1.0,l1=0.9)",S006,5.0199,-1.568
EMG,lt2,"EN(α=1.0,l1=0.9)",S007,2.4151,-0.958
EMG,lt2,"EN(α=1.0,l1=0.9)",S008,1.2143,0.81
EMG,lt2,"EN(α=1.0,l1=0.9)",S009,7.6238,-0.091
EMG,lt2,"EN(α=1.0,l1=0.9)",S010,3.3901,0.609
EMG,lt2,"EN(α=1.0,l1=0.9)",S011,4.0489,-0.069
EMG,lt2,"EN(α=1.0,l1=0.9)",S012,1.6207,0.728
EMG,lt2,"EN(α=1.0,l1=0.9)",S013,10.6853,-2.722
EMG,lt2,"EN(α=1.0,l1=0.9)",S014,1.8355,0.782
EMG,lt2,"EN(α=1.0,l1=0.9)",S016,2.5475,0.3
EMG,lt2,"EN(α=1.0,l1=0.9)",S017,3.7222,0.179
EMG,lt2,"EN(α=1.0,l1=0.9)",S018,2.2871,-0.959
EMG,lt2,"EN(α=1.0,l1=0.9)",S019,8.6244,-0.31
EMG,lt2,"GBM(n=50,d=2)",S001,4.2111,0.33
EMG,lt2,"GBM(n=50,d=2)",S002,2.3581,0.464
EMG,lt2,"GBM(n=50,d=2)",S003,5.3292,0.319
