script,variant,feature_set,target,subject_id,mae_min,trained
v0103,noabs,EMG,lt1,S011,3.7847,0
v0103,noabs,EMG,lt1,S013,5.937,1
v0103,noabs,EMG,lt1,S014,4.536,0
v0103,noabs,EMG,lt1,S016,3.6829,0
v0103,noabs,EMG,lt1,S017,4.6119,1
v0103,noabs,EMG,lt1,S018,4.3605,0
v0103,noabs,EMG,lt1,S019,7.5005,1
v0103,with_abs,NIRS,lt1,S002,3.3479,0
v0103,with_abs,NIRS,lt1,S003,7.2804,1
v0103,with_abs,NIRS,lt1,S004,4.7323,0
v0103,with_abs,NIRS,lt1,S006,3.2578,0
v0103,with_abs,NIRS,lt1,S008,5.1714,0
v0103,with_abs,NIRS,lt1,S009,8.1458,1
v0103,with_abs,NIRS,lt1,S010,7.1818,1
v0103,with_abs,NIRS,lt1,S011,3.8966,0
v0103,with_abs,NIRS,lt1,S013,6.1209,1
v0103,with_abs,NIRS,lt1,S014,4.8039,0
v0103,with_abs,NIRS,lt1,S016,4.0182,0
v0103,with_abs,NIRS,lt1,S017,4.9761,1
v0103,with_abs,NIRS,lt1,S018,4.7105,0
v0103,with_abs,NIRS,lt1,S019,7.8466,1
v0103,noabs,NIRS,lt1,S002,3.263,0
v0103,noabs,NIRS,lt1,S003,7.3001,1
v0103,noabs,NIRS,lt1,S004,4.6899,0
v0103,noabs,NIRS,lt1,S006,3.107,0
v0103,noabs,NIRS,lt1,S008,4.9753,0
v0103,noabs,NIRS,lt1,S009,8.2066,1
v0103,noabs,NIRS,lt1,S010,7.1939,1
v0103,noabs,NIRS,lt1,S011,3.9169,0
v0103,noabs,NIRS,lt1,S013,6.2177,1
v0103,noabs,NIRS,lt1,S014,4.7923,0
v0103,noabs,NIRS,lt1,S016,3.9736,0
v0103,noabs,NIRS,lt1,S017,4.8946,1
v0103,noabs,NIRS,lt1,S018,4.7455,0
v0103,noabs,NIRS,lt1,S019,7.7245,1
v0103,with_abs,EMG+NIRS,lt1,S002,3.2454,0
v0103,with_abs,EMG+NIRS,lt1,S003,7.2376,1
v0103,with_abs,EMG+NIRS,lt1,S004,4.644,0
v0103,with_abs,EMG+NIRS,lt1,S006,3.1011,0
v0103,with_abs,EMG+NIRS,lt1,S008,4.787,0
v0103,with_abs,EMG+NIRS,lt1,S009,8.1688,1
v0103,with_abs,EMG+NIRS,lt1,S010,7.2534,1
v0103,with_abs,EMG+NIRS,lt1,S011,3.7977,0
v0103,with_abs,EMG+NIRS,lt1,S013,6.0148,1
v0103,with_abs,EMG+NIRS,lt1,S014,4.5118,0
v0103,with_abs,EMG+NIRS,lt1,S016,3.8148,0
