ver,tgt,fset,subj,n_windows,ytrue_start,ytrue_end,ypred_mean,ypred_std,ypred_min,ypred_max,mae,has_nan,has_inf,extreme_val
v0301,lt1,EMG_NIRS,13,197,298.84982,-681.1502,-268.36920166015625,281.2249755859375,-665.6085205078125,298.9853515625,117.1624984741211,False,False,False
v0301,lt1,EMG_NIRS,14,158,240.73628,-544.26373,-268.2038269042969,179.0233612060547,-464.94781494140625,155.75054931640625,129.30224609375,False,False,False
v0301,lt1,EMG_NIRS,15,191,190.97755,-759.02246,-31.068758010864258,205.68553161621094,-418.480224609375,434.1033630371094,252.95367431640625,False,False,False
v0301,lt1,EMG_NIRS,16,187,365.51236,-564.4876,-169.26405334472656,233.962890625,-596.7191162109375,225.09437561035156,70.76622772216797,False,False,False
v0301,lt1,EMG_NIRS,17,289,620.67535,-819.32465,-328.1897888183594,258.6120300292969,-573.773681640625,309.7420349121094,274.63433837890625,False,False,False
v0301,lt1,EMG_NIRS_HRV,0,212,98.41573,-956.5843,-246.0196075439453,274.8849182128906,-585.9542846679688,175.680419921875,183.0646514892578,False,False,False
v0301,lt1,EMG_NIRS_HRV,1,126,190.29907,-434.70093,18.089250564575195,159.05723571777344,-350.0205993652344,208.26837158203125,143.75694274902344,False,False,False
v0301,lt1,EMG_NIRS_HRV,2,289,715.6045,-724.3955,-385.4078063964844,269.5407409667969,-641.9188232421875,267.6763916015625,391.22021484375,False,False,False
v0301,lt1,EMG_NIRS_HRV,3,142,234.35553,-470.64447,-130.07615661621094,250.90560913085938,-591.2340087890625,214.9275665283203,52.898658752441406,False,False,False
v0301,lt1,EMG_NIRS_HRV,4,234,104.008606,-1060.9913,-278.1034240722656,319.530517578125,-788.0313110351562,153.7674102783203,200.3879852294922,False,False,False
v0301,lt1,EMG_NIRS_HRV,5,111,232.11374,-317.88626,19.804964065551758,121.00979614257812,-220.94798278808594,260.320068359375,70.04408264160156,False,False,False
v0301,lt1,EMG_NIRS_HRV,6,197,155.19516,-824.8048,-219.51780700683594,222.5103302001953,-508.9176940917969,507.4820251464844,122.24171447753906,False,False,False
v0301,lt1,EMG_NIRS_HRV,7,120,166.98906,-428.01093,-61.500186920166016,197.12391662597656,-444.0187072753906,197.09478759765625,73.05752563476562,False,False,False
v0301,lt1,EMG_NIRS_HRV,8,326,275.24228,-1349.7577,-158.0160675048828,374.56927490234375,-638.1906127929688,565.0574951171875,379.2416687011719,False,False,False
v0301,lt1,EMG_NIRS_HRV,9,290,723.96344,-721.03656,-317.6129150390625,332.9854736328125,-672.6654663085938,572.189453125,322.46319580078125,False,False,False
v0301,lt1,EMG_NIRS_HRV,10,153,228.6978,-531.3022,-122.34566497802734,190.28887939453125,-388.7491149902344,297.91412353515625,51.065765380859375,False,False,False
v0301,lt1,EMG_NIRS_HRV,11,133,115.2754,-544.7246,-213.3317108154297,395.6607971191406,-672.177734375,346.5793151855469,208.09225463867188,False,False,False
