variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec,version
with_abs,EMG+NIRS+HRV,lt2,18,107,2.7919,2.9361,30.0,2.9361,3.0536,3.216,3.7815,0.716,0.836,141.5,v0321
with_abs,EMG,lt1,18,79,4.5084,4.5584,30.0,4.5584,4.6106,4.702,5.0879,-0.04,0.513,140.0,v0322
with_abs,EMG,lt2,18,79,3.3647,3.4666,30.0,3.4666,3.5564,3.6903,4.1521,0.4,0.714,103.0,v0322
with_abs,EMG+NIRS,lt1,18,97,4.0402,4.1071,30.0,4.1071,4.1607,4.2414,4.5835,0.332,0.691,161.0,v0322
with_abs,EMG+NIRS,lt2,18,97,3.1462,3.2669,30.0,3.2669,3.36,3.4894,3.9227,0.612,0.778,120.1,v0322
with_abs,EMG+NIRS+HRV,lt1,18,107,3.7745,3.8693,30.0,3.8693,3.9536,4.0668,4.4902,0.429,0.745,163.0,v0322
with_abs,EMG+NIRS+HRV,lt2,18,107,2.9074,3.0069,30.0,3.0069,3.0968,3.218,3.6597,0.68,0.815,110.8,v0322
with_abs,EMG,lt1,18,79,4.3976,4.3865,30.0,4.3865,4.4245,4.4993,4.8537,0.089,0.575,100.3,v0323
with_abs,EMG,lt2,18,79,3.737,3.6709,30.0,3.6709,3.6877,3.74,4.0951,0.461,0.713,91.8,v0323
with_abs,EMG+NIRS,lt1,18,97,3.734,3.7542,30.0,3.7542,3.8047,3.8718,4.1897,0.455,0.724,165.2,v0323
with_abs,EMG+NIRS,lt2,18,97,3.9739,4.0323,30.0,4.0323,4.1221,4.2567,4.7084,0.431,0.655,159.8,v0323
with_abs,EMG+NIRS+HRV,lt1,18,107,3.5625,3.6542,30.0,3.6542,3.7455,3.8886,4.4008,0.501,0.757,207.4,v0323
with_abs,EMG+NIRS+HRV,lt2,18,107,2.5848,2.665,30.0,2.665,2.7797,2.9373,3.5288,0.755,0.852,167.9,v0323
with_abs,EMG,lt1,18,79,4.5024,4.5317,30.0,4.5317,4.59,4.6881,5.0755,0.06,0.569,151.7,v0324
with_abs,EMG,lt2,18,79,3.1946,3.2565,30.0,3.2565,3.3288,3.4492,3.9449,0.54,0.743,127.2,v0324
with_abs,EMG+NIRS,lt1,18,97,3.9959,4.0405,30.0,4.0405,4.0907,4.1658,4.4967,0.338,0.699,175.7,v0324
with_abs,EMG+NIRS,lt2,18,97,3.082,3.1669,30.0,3.1669,3.251,3.3765,3.8126,0.63,0.789,126.1,v0324
with_abs,EMG+NIRS+HRV,lt1,18,107,3.9419,4.0378,30.0,4.0378,4.1272,4.2613,4.7088,0.345,0.71,187.6,v0324
with_abs,EMG+NIRS+HRV,lt2,18,107,2.6546,2.7797,30.0,2.7797,2.8995,3.0547,3.6064,0.727,0.841,127.5,v0324
with_abs,EMG,lt1,18,79,3.7683,4.7426,30.0,4.7426,5.0489,5.2588,5.6324,0.527,0.764,90.8,v0325
with_abs,EMG,lt2,18,79,4.4926,4.791,30.0,4.791,4.856,4.9683,5.2944,0.272,0.596,91.7,v0325
with_abs,EMG+NIRS,lt1,18,97,3.754,4.5426,30.0,4.5426,4.8545,5.1083,5.5539,0.49,0.744,83.9,v0325
with_abs,EMG+NIRS,lt2,18,97,3.4495,4.2325,30.0,4.2325,4.5079,4.7457,5.2087,0.505,0.719,86.7,v0325
with_abs,EMG+NIRS+HRV,lt1,18,107,3.6391,4.7052,30.0,4.7052,5.0863,5.3335,5.7202,0.557,0.782,91.7,v0325
with_abs,EMG+NIRS+HRV,lt2,18,107,3.1096,3.8779,30.0,3.8779,4.1728,4.4889,5.1407,0.653,0.83,101.2,v0325
with_abs,EMG,lt1,18,79,4.4565,5.3422,30.0,5.3422,5.601,5.768,6.008,0.265,0.647,134.0,v0326
with_abs,EMG,lt2,18,79,3.715,4.2143,30.0,4.2143,4.4258,4.6556,5.1477,0.471,0.69,98.3,v0326
with_abs,EMG+NIRS,lt1,18,97,3.8989,4.8421,30.0,4.8421,5.225,5.458,5.7529,0.473,0.758,115.6,v0326
with_abs,EMG+NIRS,lt2,18,97,3.2544,4.0252,30.0,4.0252,4.3118,4.5806,5.0676,0.599,0.773,87.8,v0326
with_abs,EMG+NIRS+HRV,lt1,18,107,3.7643,4.8199,30.0,4.8199,5.2284,5.5093,5.8819,0.513,0.749,82.9,v0326
with_abs,EMG+NIRS+HRV,lt2,18,107,2.7286,3.8042,30.0,3.8042,4.0987,4.3485,4.953,0.737,0.855,77.8,v0326
with_abs,EMG,lt1,18,79,4.1513,4.6641,30.0,4.6641,4.9307,5.1595,5.5833,0.392,0.689,122.0,v0327
with_abs,EMG,lt2,18,79,4.3442,4.6391,30.0,4.6391,4.7639,4.8494,5.1052,0.295,0.623,131.2,v0327
with_abs,EMG+NIRS,lt1,18,97,4.1438,4.6229,30.0,4.6229,4.8229,5.0221,5.4659,0.455,0.721,124.8,v0327
with_abs,EMG+NIRS,lt2,18,97,3.7826,4.1944,30.0,4.1944,4.4492,4.6728,5.0566,0.476,0.721,150.9,v0327
with_abs,EMG+NIRS+HRV,lt1,18,107,3.277,3.8294,30.0,3.8294,4.1905,4.5413,5.173,0.645,0.826,168.5,v0327
with_abs,EMG+NIRS+HRV,lt2,18,107,2.7064,3.2514,30.0,3.2514,3.5842,3.9075,4.7034,0.746,0.876,166.4,v0327
with_abs,EMG,lt1,18,79,4.5024,5.0148,30.0,5.0148,5.2539,5.4538,5.8812,0.267,0.611,200.2,v0328
with_abs,EMG,lt2,18,79,3.995,4.4036,30.0,4.4036,4.5522,4.6967,5.0316,0.378,0.661,181.5,v0328
with_abs,EMG+NIRS,lt1,18,97,3.8542,4.4205,30.0,4.4205,4.691,4.957,5.4811,0.489,0.741,182.6,v0328
with_abs,EMG+NIRS,lt2,18,97,3.3572,3.8436,30.0,3.8436,4.0429,4.2163,4.7521,0.56,0.76,151.4,v0328
with_abs,EMG+NIRS+HRV,lt1,18,107,3.8281,4.3747,30.0,4.3747,4.6649,4.9497,5.5819,0.441,0.719,155.2,v0328
with_abs,EMG+NIRS+HRV,lt2,18,107,3.0229,3.6755,30.0,3.6755,4.0202,4.3164,4.9305,0.687,0.834,169.5,v0328
with_abs,EMG,lt1,18,79,4.4849,4.6206,30.0,4.6206,4.7086,4.8261,5.2238,0.191,0.605,467.0,v0329
with_abs,EMG,lt2,18,79,4.1717,4.2691,30.0,4.2691,4.3325,4.4313,4.7813,0.406,0.69,468.8,v0329
with_abs,EMG+NIRS,lt1,18,97,3.858,4.0229,30.0,4.0229,4.144,4.304,4.808,0.466,0.712,394.3,v0329
with_abs,EMG+NIRS,lt2,18,97,3.8796,4.0373,30.0,4.0373,4.1591,4.3051,4.7722,0.45,0.713,408.5,v0329
with_abs,EMG+NIRS+HRV,lt1,18,107,3.5805,3.7814,30.0,3.7814,3.9193,4.0835,4.5811,0.573,0.786,479.3,v0329
with_abs,EMG+NIRS+HRV,lt2,18,107,3.1072,3.2884,30.0,3.2884,3.4312,3.6174,4.2224,0.675,0.843,373.5,v0329
with_abs,EMG,lt1,18,79,4.928,5.1,30.0,5.1,5.2125,5.3489,5.7413,0.018,0.531,504.0,v0330
with_abs,EMG,lt2,18,79,4.2054,4.4133,30.0,4.4133,4.5537,4.7287,5.2665,0.353,0.67,472.1,v0330
with_abs,EMG+NIRS,lt1,18,97,4.1247,4.339,30.0,4.339,4.4851,4.659,5.1762,0.392,0.711,520.3,v0330
with_abs,EMG+NIRS,lt2,18,97,3.4754,3.6777,30.0,3.6777,3.8221,4.0146,4.6115,0.538,0.733,479.1,v0330
with_abs,EMG+NIRS+HRV,lt1,18,107,4.2788,4.498,30.0,4.498,4.6411,4.8219,5.374,0.289,0.674,518.8,v0330
with_abs,EMG+NIRS+HRV,lt2,18,107,3.691,3.9292,30.0,3.9292,4.0948,4.2978,4.9217,0.512,0.78,507.0,v0330
with_abs,EMG,lt1,18,79,3.5488,3.6631,30.0,3.6631,3.7418,3.8415,4.2004,0.281,0.624,80.0,v0331
with_abs,EMG+NIRS,lt1,18,97,3.3467,3.4371,30.0,3.4371,3.5184,3.6262,4.033,0.346,0.629,105.5,v0331
with_abs,EMG+NIRS+HRV,lt1,18,107,3.1622,3.2827,30.0,3.2827,3.3896,3.5317,4.0563,0.362,0.657,99.7,v0331
with_abs,EMG,lt1,18,79,3.4171,3.5547,30.0,3.5547,3.6619,3.7994,4.2548,0.307,0.622,91.9,v0332
with_abs,EMG+NIRS,lt1,18,97,3.3935,3.5133,30.0,3.5133,3.6159,3.7458,4.1847,0.361,0.667,99.1,v0332
with_abs,EMG+NIRS+HRV,lt1,18,107,3.4089,3.528,30.0,3.528,3.6353,3.779,4.2587,0.329,0.635,102.8,v0332
with_abs,EMG,lt1,18,79,3.8637,3.963,30.0,3.963,4.0575,4.1873,4.6073,0.321,0.656,114.5,v0335
with_abs,EMG,lt2,18,79,3.289,3.3095,30.0,3.3095,3.3414,3.4202,3.8677,0.476,0.709,75.8,v0335
with_abs,EMG+NIRS,lt1,18,97,3.2943,3.3881,30.0,3.3881,3.465,3.5741,4.0112,0.533,0.751,157.5,v0335
with_abs,EMG+NIRS,lt2,18,97,3.6013,3.7192,30.0,3.7192,3.8142,3.9248,4.3125,0.383,0.663,97.5,v0335
with_abs,EMG+NIRS+HRV,lt1,18,107,3.4315,3.5591,30.0,3.5591,3.6754,3.8406,4.3891,0.5,0.753,188.0,v0335
with_abs,EMG+NIRS+HRV,lt2,18,107,2.5385,2.7054,30.0,2.7054,2.8397,3.0125,3.608,0.726,0.85,115.0,v0335
with_abs,EMG,lt1,18,79,4.3236,4.4279,30.0,4.4279,4.5146,4.6189,4.9713,0.132,0.567,125.0,v0336
with_abs,EMG,lt2,18,79,2.9613,3.0888,30.0,3.0888,3.1777,3.3106,3.815,0.548,0.721,107.2,v0336
with_abs,EMG+NIRS,lt1,18,97,3.716,3.774,30.0,3.774,3.8289,3.9244,4.2979,0.393,0.725,148.0,v0336
with_abs,EMG+NIRS,lt2,18,97,3.3723,3.4605,30.0,3.4605,3.5398,3.6416,4.0343,0.492,0.692,149.4,v0336
with_abs,EMG+NIRS+HRV,lt1,18,107,3.7364,3.8413,30.0,3.8413,3.9327,4.06,4.5046,0.415,0.718,215.5,v0336
with_abs,EMG+NIRS+HRV,lt2,18,107,2.4817,2.6121,30.0,2.6121,2.718,2.8571,3.3666,0.726,0.854,155.6,v0336
with_abs,EMG,lt1,18,79,4.1885,4.3153,30.0,4.3153,4.4166,4.5518,4.9895,0.238,0.612,188.4,v0401
with_abs,EMG,lt2,18,79,4.4439,4.5087,30.0,4.5087,4.5603,4.6387,4.9772,0.143,0.627,159.1,v0401
with_abs,EMG+NIRS,lt1,18,97,3.5704,3.694,30.0,3.694,3.783,3.9056,4.3246,0.488,0.753,285.1,v0401
with_abs,EMG+NIRS,lt2,18,97,3.474,3.6674,30.0,3.6674,3.8162,3.9938,4.5476,0.46,0.726,181.0,v0401
with_abs,EMG+NIRS+HRV,lt1,18,107,3.4589,3.6165,30.0,3.6165,3.7336,3.8858,4.384,0.51,0.769,207.2,v0401
with_abs,EMG+NIRS+HRV,lt2,18,107,2.6166,2.8356,30.0,2.8356,2.9954,3.1961,3.8375,0.713,0.838,174.5,v0401
noabs,EMG,lt1,18,79,4.308,4.4355,30.0,4.4355,4.5392,4.6672,5.0862,0.147,0.599,144.8,v0402
noabs,EMG,lt2,18,79,4.0497,4.1418,30.0,4.1418,4.2238,4.3374,4.7364,0.182,0.66,141.6,v0402
noabs,EMG+NIRS,lt1,18,93,3.8367,4.0197,30.0,4.0197,4.1574,4.3282,4.8766,0.39,0.732,224.2,v0402
noabs,EMG+NIRS,lt2,18,93,3.3732,3.547,30.0,3.547,3.67,3.819,4.3179,0.496,0.784,167.2,v0402
noabs,EMG+NIRS+HRV,lt1,18,101,3.6456,3.7841,30.0,3.7841,3.8981,4.0659,4.6329,0.494,0.761,226.1,v0402
noabs,EMG+NIRS+HRV,lt2,18,101,3.0046,3.1899,30.0,3.1899,3.3193,3.4959,4.1009,0.604,0.817,171.9,v0402
with_abs,EMG,lt1,18,79,4.3905,4.5077,30.0,4.5077,4.5943,4.7002,5.0589,0.039,0.532,149.2,v0403
