variant,feature_set,target,subject_id,mae_ens_min,mae_tcn_min,mae_lin_min,best_alpha,best_expert
with_abs,EMG+NIRS,lt1,S008,4.3922,3.6687,4.5038,0.1,tcn
with_abs,EMG+NIRS,lt1,S009,5.1878,5.5362,5.1878,0.0,linear
with_abs,EMG+NIRS,lt1,S010,3.1987,4.7423,3.1654,0.05,linear
with_abs,EMG+NIRS,lt1,S011,3.3972,2.5257,3.5064,0.05,tcn
with_abs,EMG+NIRS,lt1,S013,2.2391,3.5495,2.2714,0.05,linear
with_abs,EMG+NIRS,lt1,S014,2.0173,3.2485,2.072,0.05,linear
with_abs,EMG+NIRS,lt1,S016,1.6084,2.1131,1.7688,0.05,linear
with_abs,EMG+NIRS,lt1,S017,1.4723,3.6872,1.6106,0.05,linear
with_abs,EMG+NIRS,lt1,S018,3.3064,3.0779,3.4661,0.1,tcn
with_abs,EMG+NIRS,lt1,S019,3.7574,4.6844,3.6732,0.1,linear
noabs,EMG+NIRS,lt1,S002,3.2426,2.9657,3.3857,0.05,tcn
noabs,EMG+NIRS,lt1,S003,1.9976,4.2648,1.9677,0.05,linear
noabs,EMG+NIRS,lt1,S004,3.5668,4.5485,3.5798,0.05,linear
noabs,EMG+NIRS,lt1,S006,2.7509,1.2477,2.7509,0.0,tcn
noabs,EMG+NIRS,lt1,S008,3.7825,3.6647,3.8146,0.05,tcn
noabs,EMG+NIRS,lt1,S009,5.4472,5.5756,5.4472,0.0,linear
noabs,EMG+NIRS,lt1,S010,3.2087,4.7121,3.1878,0.05,linear
noabs,EMG+NIRS,lt1,S011,2.2959,2.2963,2.3726,0.05,tcn
noabs,EMG+NIRS,lt1,S013,2.4109,3.5967,2.4766,0.05,linear
noabs,EMG+NIRS,lt1,S014,1.8038,3.6152,1.8776,0.05,linear
noabs,EMG+NIRS,lt1,S016,1.9121,2.3429,2.0454,0.05,linear
noabs,EMG+NIRS,lt1,S017,1.701,3.7298,1.701,0.0,linear
noabs,EMG+NIRS,lt1,S018,3.3443,2.6837,3.4206,0.05,tcn
noabs,EMG+NIRS,lt1,S019,3.9589,4.6835,3.9356,0.05,linear
with_abs,EMG+NIRS+HRV,lt1,S002,1.9294,3.0725,2.0329,0.05,linear
with_abs,EMG+NIRS+HRV,lt1,S003,6.5278,4.2828,6.7399,0.05,tcn
with_abs,EMG+NIRS+HRV,lt1,S004,2.0572,4.385,2.0295,0.05,linear
with_abs,EMG+NIRS+HRV,lt1,S006,2.3922,1.1821,2.5274,0.05,tcn
with_abs,EMG+NIRS+HRV,lt1,S008,4.0726,3.8289,4.0916,0.05,tcn
with_abs,EMG+NIRS+HRV,lt1,S009,3.6177,4.6358,3.6177,0.0,linear
with_abs,EMG+NIRS+HRV,lt1,S010,2.5654,4.5686,2.4974,0.05,linear
with_abs,EMG+NIRS+HRV,lt1,S011,2.4468,2.139,2.5348,0.05,tcn
with_abs,EMG+NIRS+HRV,lt1,S013,1.4247,3.5761,1.4692,0.05,linear
with_abs,EMG+NIRS+HRV,lt1,S014,1.3866,2.8717,1.4519,0.1,linear
with_abs,EMG+NIRS+HRV,lt1,S016,1.6604,3.2386,1.728,0.05,linear
with_abs,EMG+NIRS+HRV,lt1,S017,1.2883,3.396,1.4158,0.05,linear
with_abs,EMG+NIRS+HRV,lt1,S018,4.2929,2.753,4.408,0.05,tcn
with_abs,EMG+NIRS+HRV,lt1,S019,2.7215,3.9605,2.6742,0.05,linear
noabs,EMG+NIRS+HRV,lt1,S002,2.9069,3.0233,3.0296,0.05,tcn
noabs,EMG+NIRS+HRV,lt1,S003,2.7383,4.5082,2.7477,0.05,linear
noabs,EMG+NIRS+HRV,lt1,S004,3.0234,4.5909,3.0054,0.05,linear
noabs,EMG+NIRS+HRV,lt1,S006,2.759,1.2604,2.759,0.0,tcn
noabs,EMG+NIRS+HRV,lt1,S008,4.2122,3.893,4.2122,0.0,tcn
noabs,EMG+NIRS+HRV,lt1,S009,4.2454,5.4372,4.2454,0.0,linear
noabs,EMG+NIRS+HRV,lt1,S010,2.8346,5.0037,2.746,0.05,linear
noabs,EMG+NIRS+HRV,lt1,S011,1.7186,1.9952,1.784,0.05,linear
noabs,EMG+NIRS+HRV,lt1,S013,2.1128,3.4953,2.1519,0.05,linear
noabs,EMG+NIRS+HRV,lt1,S014,1.3003,2.9558,1.3638,0.05,linear
noabs,EMG+NIRS+HRV,lt1,S016,2.2122,2.258,2.4243,0.05,tcn
noabs,EMG+NIRS+HRV,lt1,S017,1.4959,3.2734,1.4959,0.0,linear
noabs,EMG+NIRS+HRV,lt1,S018,4.3751,3.0699,4.4904,0.05,tcn
noabs,EMG+NIRS+HRV,lt1,S019,3.2697,4.3222,3.2282,0.05,linear
