variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG+NIRS+HRV,lt2,S001,4.7608,0.069
with_abs,EMG+NIRS+HRV,lt2,S002,3.9293,-0.707
with_abs,EMG+NIRS+HRV,lt2,S003,6.826,-0.324
with_abs,EMG+NIRS+HRV,lt2,S004,3.6716,-0.18
with_abs,EMG+NIRS+HRV,lt2,S005,5.0014,-0.019
with_abs,EMG+NIRS+HRV,lt2,S006,2.7904,-0.005
with_abs,EMG+NIRS+HRV,lt2,S008,3.9213,-0.893
with_abs,EMG+NIRS+HRV,lt2,S009,8.9952,-0.693
with_abs,EMG+NIRS+HRV,lt2,S010,7.8956,-0.585
with_abs,EMG+NIRS+HRV,lt2,S011,3.6183,0.056
with_abs,EMG+NIRS+HRV,lt2,S012,3.2019,0.084
with_abs,EMG+NIRS+HRV,lt2,S013,5.9076,-0.291
with_abs,EMG+NIRS+HRV,lt2,S014,4.4219,0.081
with_abs,EMG+NIRS+HRV,lt2,S016,3.8316,-0.033
with_abs,EMG+NIRS+HRV,lt2,S017,5.054,-0.387
with_abs,EMG+NIRS+HRV,lt2,S018,4.9889,-6.556
with_abs,EMG+NIRS+HRV,lt2,S019,7.4097,-0.385
noabs,EMG+NIRS+HRV,lt2,S001,4.7587,0.069
noabs,EMG+NIRS+HRV,lt2,S002,3.9667,-0.721
noabs,EMG+NIRS+HRV,lt2,S003,6.8585,-0.328
noabs,EMG+NIRS+HRV,lt2,S004,3.5869,-0.145
noabs,EMG+NIRS+HRV,lt2,S005,5.1934,-0.113
noabs,EMG+NIRS+HRV,lt2,S006,2.9401,-0.066
noabs,EMG+NIRS+HRV,lt2,S008,3.9349,-0.902
noabs,EMG+NIRS+HRV,lt2,S009,8.9802,-0.693
noabs,EMG+NIRS+HRV,lt2,S010,7.9646,-0.595
noabs,EMG+NIRS+HRV,lt2,S011,3.5623,0.067
noabs,EMG+NIRS+HRV,lt2,S012,3.1921,0.089
noabs,EMG+NIRS+HRV,lt2,S013,5.9127,-0.29
noabs,EMG+NIRS+HRV,lt2,S014,4.4971,0.068
noabs,EMG+NIRS+HRV,lt2,S016,3.7628,-0.012
noabs,EMG+NIRS+HRV,lt2,S017,5.0788,-0.393
noabs,EMG+NIRS+HRV,lt2,S018,4.9909,-6.561
noabs,EMG+NIRS+HRV,lt2,S019,7.4337,-0.391
