model_id,architecture_id,family,target,selected_epoch,n_folds,n_epochs_mean,final_train_mae_mean,final_train_mae_std,final_train_loss_mean,train_mae_slope_last_K_mean,train_loss_slope_last_K_mean,training_instability_mean,converged_rate,relative_change_last_K_mean,stability_window_epochs,convergence_relative_threshold
LSTM1_bc20209c,LSTM1,LSTM,lt2,80,17,80.0,0.06598294542459976,0.0035925144312523995,0.008657182182876581,6.870508288250288e-05,2.913524953790356e-05,0.7522248872358653,0.8823529411764706,0.026025183768031552,10,0.05
LSTM1_87b28798,LSTM1,LSTM,lt2,80,17,80.0,0.06517431153690739,0.0019290903553215643,0.008267416372317102,-4.678599543367898e-05,-1.5943190185040388e-05,0.7440395733168537,0.7647058823529411,0.029110052834254038,10,0.05
LSTM10_e5b9fa98,LSTM10,LSTM,lt1,20,18,20.0,0.22998798076873822,0.02436523829279485,0.1122799955029158,-0.00486661899619259,-0.0043710966755825115,0.7609261463341195,0.05555555555555555,0.19852079724370644,10,0.05
LSTM10_4f91801d,LSTM10,LSTM,lt1,20,18,20.0,0.2207691371721471,0.013300827625237344,0.10239592205841785,-0.0062523166431134375,-0.005762866210055637,0.7412729624958413,0.0,0.2513914876518099,10,0.05
LSTM10_d93cabaa,LSTM10,LSTM,lt1,20,18,20.0,0.2059408402341521,0.014755179708847703,0.083116780454897,-0.005995818777334881,-0.005292254466119204,0.7936666698335633,0.0,0.25668952672639733,10,0.05
LSTM10_667dd2c3,LSTM10,LSTM,lt1,20,18,20.0,0.22383266305115784,0.02125045809503777,0.10181190244366352,-0.005419838860538174,-0.005165208398391844,0.6786055885055675,0.05555555555555555,0.22554024014219054,10,0.05
LSTM10_e2b93838,LSTM10,LSTM,lt1,20,18,20.0,0.19669018394677643,0.01431213301098007,0.07549513610326374,-0.004387629861518002,-0.003727141258320401,0.7856249547902197,0.0,0.20650441395244482,10,0.05
LSTM10_24c01c17,LSTM10,LSTM,lt1,20,18,20.0,0.1932139372335876,0.012303118091592841,0.07246120487569963,-0.004997890634930138,-0.00424967473129021,0.7466835649859819,0.0,0.23929355887251466,10,0.05
LSTM10_13d8312e,LSTM10,LSTM,lt2,20,18,20.0,0.2094085199350064,0.019173361753303475,0.08614778632391977,-0.007648495099001972,-0.007119162992482101,0.767257246273489,0.0,0.31412174973191287,10,0.05
LSTM10_315cbe24,LSTM10,LSTM,lt2,20,18,20.0,0.22211264551324464,0.024765422779201705,0.09933667110253984,-0.006310752784854532,-0.005461558562724465,0.6850829286113302,0.0,0.26091239546794437,10,0.05
LSTM10_75e3f941,LSTM10,LSTM,lt2,20,18,20.0,0.1913226544823441,0.0201821750175579,0.06963579833659454,-0.006398066881899916,-0.00518520910745665,0.7630832570058318,0.05555555555555555,0.29571000374086664,10,0.05
LSTM10_a14420fe,LSTM10,LSTM,lt2,20,18,20.0,0.19362338134197732,0.017482530228530496,0.06917911804891848,-0.006090865599407043,-0.0050452608399840105,0.7645041726369325,0.0,0.27457164039259235,10,0.05
LSTM10_14b4bbdd,LSTM10,LSTM,lt2,20,18,20.0,0.1731664688803308,0.016105034551555215,0.05615405607350213,-0.004370346733645905,-0.0030387505600035346,0.7712822376446106,0.0,0.22407567579307683,10,0.05
LSTM10_e4f51a33,LSTM10,LSTM,lt2,20,18,20.0,0.17450658488920792,0.015146512746001248,0.05777495236755709,-0.0056088329312984665,-0.003931438795400998,0.7707191110014269,0.05555555555555555,0.28802870049790935,10,0.05
LSTM11_671c5a71,LSTM11,LSTM,lt1,20,18,20.0,0.24621473066548002,0.015244841838655732,0.12415152943932302,-0.0038370506456628798,-0.003184608745380747,0.7127036618896591,0.05555555555555555,0.14780461652966634,10,0.05
LSTM11_caeb7b3a,LSTM11,LSTM,lt1,20,18,20.0,0.23865233784921353,0.01800043437490937,0.11852760256603141,-0.005249746927097055,-0.004728333105746409,0.6887544386194921,0.05555555555555555,0.20210515667392684,10,0.05
LSTM11_82fbdd4f,LSTM11,LSTM,lt1,20,18,20.0,0.2319822578608132,0.015991897973995937,0.10648740787979269,-0.00397109444758185,-0.003346669767831383,0.7265871553482431,0.1111111111111111,0.16114910350773576,10,0.05
LSTM11_a3b79c56,LSTM11,LSTM,lt1,20,18,20.0,0.24472122895201695,0.01836681653343066,0.11822951468630825,-0.003833918468276352,-0.003031988446484658,0.714106468470495,0.1111111111111111,0.15306585965966896,10,0.05
LSTM11_0dd110f8,LSTM11,LSTM,lt1,20,18,20.0,0.21586702823165196,0.016283152130068722,0.09286213127396992,-0.0038075230100046618,-0.0033564324929773867,0.7811056401310636,0.0,0.16159999227155677,10,0.05
LSTM11_ade0dab4,LSTM11,LSTM,lt1,20,18,20.0,0.22162084589951356,0.01899889836609121,0.09686737941238768,-0.004721210905175175,-0.004118068564546908,0.71948265274091,0.16666666666666666,0.19675878505578095,10,0.05
LSTM11_a0b60690,LSTM11,LSTM,lt2,20,18,20.0,0.28407257227363775,0.015866033939151886,0.1896914091795597,-0.005758894768390266,-0.005971394978445479,0.656546205122719,0.0,0.18482222637272738,10,0.05
LSTM11_4c04c95b,LSTM11,LSTM,lt2,20,18,20.0,0.2906468398352072,0.015051583816552978,0.19301288502433736,-0.005556149318596825,-0.005636622587178996,0.760310119538008,0.0,0.17800235262442995,10,0.05
LSTM11_f33fb36c,LSTM11,LSTM,lt2,20,18,20.0,0.22830891058921474,0.026300377568570482,0.10566398425370732,-0.005968820036474299,-0.005408561877504092,0.7638957066577741,0.0,0.23751138782855705,10,0.05
LSTM11_99226d62,LSTM11,LSTM,lt2,20,18,20.0,0.22747517593024127,0.017368738397336905,0.10385597297232632,-0.0062608164308942975,-0.006030755830738745,0.7490084303158686,0.05555555555555555,0.24570640403124555,10,0.05
LSTM11_210d914a,LSTM11,LSTM,lt2,20,18,20.0,0.2093676121142239,0.012390241113772722,0.08623947743832987,-0.0042022145902750685,-0.0035543410392194475,0.7646826498556875,0.16666666666666666,0.1875484934068053,10,0.05
