model_id,architecture_id,target,policy,alpha,nominal_coverage,empirical_coverage,coverage_gap,coverage_ci_low,coverage_ci_high,mean_interval_width_sec,median_interval_width_sec,interval_width_over_2mae,calibration_n,qhat_method
Lin14_8e8ab90d,Lin14,lt2,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,542.0724943691938,579.4358494417311,1.6551521866716519,17,jackknife_plus
Lin14_9cfbbe93,Lin14,lt1,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1519.1127247564148,1531.3506992319071,2.6561805528529816,17,jackknife_plus
Lin14_9cfbbe93,Lin14,lt1,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,1141.3724855397725,1155.483828219614,1.9956987722147725,17,jackknife_plus
Lin14_9cfbbe93,Lin14,lt1,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,958.7011458271876,978.2005641648853,1.6762964973204126,17,jackknife_plus
Lin14_9cfbbe93,Lin14,lt1,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,610.8431242649539,623.4110824348195,1.0680640093885676,17,jackknife_plus
Lin14_9cfbbe93,Lin14,lt1,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1090.8875221518533,1149.7684813204596,1.9074254164741788,17,jackknife_plus
Lin14_9cfbbe93,Lin14,lt1,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.6111111111111112,0.9444444444444444,532.9283199496407,536.6841044010921,0.9318293609460926,17,jackknife_plus
Lin14_9f1e0d6b,Lin14,lt2,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1011.3556925073785,1023.7519651764708,2.0142622729014508,17,jackknife_plus
Lin14_9f1e0d6b,Lin14,lt2,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,813.9325142222551,819.3915280782198,1.6210652377118555,17,jackknife_plus
Lin14_9f1e0d6b,Lin14,lt2,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,693.2026756212646,697.3642715804735,1.3806141670261756,17,jackknife_plus
Lin14_9f1e0d6b,Lin14,lt2,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,593.5373902132807,601.7366181842708,1.1821162243117307,17,jackknife_plus
Lin14_9f1e0d6b,Lin14,lt2,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,803.9978140217733,816.2550810224147,1.6012788342193265,17,jackknife_plus
Lin14_9f1e0d6b,Lin14,lt2,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,624.3359235048579,634.9330487882378,1.2434559924363566,17,jackknife_plus
Lin14_ad149561,Lin14,lt2,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1774.5656932512316,1809.5249235030465,2.751331239600097,17,jackknife_plus
Lin14_ad149561,Lin14,lt2,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,1193.786426384268,1241.5218548973498,1.850876471247435,17,jackknife_plus
Lin14_ad149561,Lin14,lt2,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1123.282418505971,1132.6191499243018,1.7415652859076725,17,jackknife_plus
Lin14_ad149561,Lin14,lt2,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,856.4923915564348,870.4937952371881,1.3279273246016707,17,jackknife_plus
Lin14_ad149561,Lin14,lt2,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1000.0956389327579,1011.3779858150681,1.5505734075937434,17,jackknife_plus
Lin14_ad149561,Lin14,lt2,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,822.551843911127,870.4937952371881,1.2753050467221838,17,jackknife_plus
Lin14_b585f5e2,Lin14,lt2,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,561.3105553373057,565.3718198652891,1.7726199587344142,17,jackknife_plus
Lin14_b585f5e2,Lin14,lt2,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,487.5133863530607,493.5782288804726,1.5395683380305076,17,jackknife_plus
Lin14_b585f5e2,Lin14,lt2,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,513.0555720580927,529.4695345425002,1.6202306162291293,17,jackknife_plus
Lin14_b585f5e2,Lin14,lt2,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,355.5804296975563,356.5073034755492,1.1229237729878052,17,jackknife_plus
Lin14_b585f5e2,Lin14,lt2,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,536.5816215168466,537.4706323886398,1.6945259317620784,17,jackknife_plus
Lin14_b585f5e2,Lin14,lt2,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,497.7846444380023,528.9197491453679,1.5720049934782903,17,jackknife_plus
Lin14_b8e84c0d,Lin14,lt1,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1261.5742502642138,1299.5154205725394,2.8320637633598613,17,jackknife_plus
Lin14_b8e84c0d,Lin14,lt1,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,606.0978998318595,653.1685285747033,1.3606079061956384,17,jackknife_plus
Lin14_b8e84c0d,Lin14,lt1,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1128.7175857598065,1166.4697905464532,2.533818499408897,17,jackknife_plus
Lin14_b8e84c0d,Lin14,lt1,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,634.6211741678527,660.0560006808935,1.4246388038161477,17,jackknife_plus
Lin14_b8e84c0d,Lin14,lt1,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1232.1230053212494,1267.1025454068745,2.7659496970880295,17,jackknife_plus
Lin14_b8e84c0d,Lin14,lt1,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,684.6432278518841,707.0734820175126,1.536931556761698,17,jackknife_plus
Lin14_c558f53b,Lin14,lt2,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,483.60327405778713,495.10814876328686,1.777940568966394,17,jackknife_plus
Lin14_c558f53b,Lin14,lt2,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.6097222222222224,0.9444444444444444,350.6133462783017,363.75196517647055,1.2890104881605224,17,jackknife_plus
Lin14_c558f53b,Lin14,lt2,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,420.7098763127635,423.4397850826563,1.5467164863981375,17,jackknife_plus
Lin14_c558f53b,Lin14,lt2,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,373.27300390100754,395.16294912500643,1.3723174604815642,17,jackknife_plus
Lin14_c558f53b,Lin14,lt2,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,396.4412029292965,399.73339735530635,1.4574940570266086,17,jackknife_plus
Lin14_c558f53b,Lin14,lt2,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,351.53168795432026,355.729636212483,1.2923867203110326,17,jackknife_plus
Lin14_d234d8c0,Lin14,lt1,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1710.1135700946352,1731.208928952476,3.674230669172467,17,jackknife_plus
Lin14_d234d8c0,Lin14,lt1,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,1001.3969348008125,1031.0247345460648,2.151531567378204,17,jackknife_plus
Lin14_d234d8c0,Lin14,lt1,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,541.1344904287876,546.2772106096036,1.1626438007684128,17,jackknife_plus
Lin14_d234d8c0,Lin14,lt1,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,496.47030838392465,498.09342785606975,1.06668145630631,17,jackknife_plus
Lin14_d234d8c0,Lin14,lt1,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,838.7650336205178,866.3803261849557,1.8021120144596237,17,jackknife_plus
Lin14_d234d8c0,Lin14,lt1,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.6111111111111112,0.9444444444444444,586.7642249398565,587.2511040104982,1.2606806638742292,17,jackknife_plus
Lin14_d91c8cf5,Lin14,lt1,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1013.2546547950016,1069.515420572539,2.891652375260896,17,jackknife_plus
Lin14_d91c8cf5,Lin14,lt1,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,411.7271855798404,421.35069923190713,1.1749977051744231,17,jackknife_plus
Lin14_d91c8cf5,Lin14,lt1,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,929.4051954310221,972.9177665318175,2.6523606165832634,17,jackknife_plus
Lin14_d91c8cf5,Lin14,lt1,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,373.78401541689516,417.4860085950935,1.0667145035060264,17,jackknife_plus
Lin14_d91c8cf5,Lin14,lt1,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,886.1506779011611,917.5750337680731,2.5289197542451656,17,jackknife_plus
