model_id,architecture_id,family,target,feature_set,with_abs,phase_split,subject_id,feature_name,modality,mean_abs_shap,mean_shap,mean_feature_value,mean_prediction,mean_base_value,n_windows,abs_shap_share,feature_rank_within_subject
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,trainred_thb_slope,NIRS,1.6137746186599244,0.16325784371004648,0.006038139817386719,-154.83154540425284,-126.84176254197375,319,0.0007153111927728602,54
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,trainred_thb_std,NIRS,46.29045979698122,-46.29045979698122,1.8489264451103833,-154.83154540425284,-126.84176254197375,319,0.020518406739398955,19
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,smo2_from_running_max,NIRS,19.216436399405385,-2.0949279718244695,10.532464292852467,-154.83154540425284,-126.84176254197375,319,0.008517752034740084,33
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,hhb_from_running_min,NIRS,79.61726749026309,-49.179251275438794,6.355431464415066,-154.83154540425284,-126.84176254197375,319,0.03529062975415245,11
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,smo2_rel_drop_pct,NIRS,51.824221167258315,40.34651939376812,18.8818169491906,-154.83154540425284,-126.84176254197375,319,0.022971265645793396,17
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,hrv_sdnn_ms,HRV,3.894105015612775,0.6134433208056521,,-154.83154540425284,-126.84176254197375,319,0.0017260755444362009,47
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,hrv_rmssd_ms,HRV,9.024241092832309,1.3644116289389683,,-154.83154540425284,-126.84176254197375,319,0.004000026140790389,42
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,hrv_sd1_ms,HRV,9.024309823918458,1.3644220206707802,,-154.83154540425284,-126.84176254197375,319,0.004000056606082534,41
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,hrv_sd2_ms,HRV,8.52915593120566,1.534334776892517,,-154.83154540425284,-126.84176254197375,319,0.003780577927023475,43
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,hrv_sd1_sd2_ratio,HRV,3.838468671741809,1.28039223266832,,-154.83154540425284,-126.84176254197375,319,0.0017014145421898593,48
