task,config,model,mae_min,mae_std,r2,rho,delta_vs_base,best
LT2,SampEn   120s,Ridge α=100,2.304501612077847,1.0826793070114777,0.8134026900335924,0.9019357018169902,0.0617999080737075,False
LT2,SampEn    30s,Huber ε=1.35,2.3566251561436995,1.060049875451364,0.8045704238281084,0.9010271102907429,0.11392345213955979,False
LT2,Trend CV  60s,Huber ε=1.35,2.3568176163526355,1.0418312021053777,0.805112520387618,0.9013660108433658,0.11411591234849583,False
LT2,v0004-репликация,Huber ε=1.35,2.3598921381996836,1.0431795043637666,0.804605334658971,0.9009463153640681,0.11719043419554387,False
LT2,Trend CV  30s,Huber ε=1.35,2.3625923893090275,1.044397484626854,0.8041611668187097,0.9007344670887707,0.11989068530488778,False
LT2,Trend CV 120s,Huber ε=1.35,2.3656120609249682,1.029152616433132,0.8042538626101499,0.9009990441598696,0.12291035692082852,False
LT2,Trend CV  60s,GBM n=200,2.3894224753561986,0.9670938303931799,0.8093282599165101,0.8906489704152142,0.14672077135205885,False
LT2,Trend CV  30s,GBM n=200,2.3917885240825205,0.9840276458257967,0.8097062201343876,0.8909422656441017,0.1490868200783808,False
LT2,Trend CV 120s,GBM n=200,2.394458143585531,0.9621125195606249,0.8073960798995774,0.8911011283917403,0.1517564395813915,False
LT2,v0004-репликация,GBM n=200,2.404883988598722,0.9827808905955917,0.8065097501030474,0.8900079620622515,0.16218228459458217,False
LT2,SampEn    60s,Huber ε=1.35,2.417111885109558,1.0945102396903093,0.7946486793065306,0.8963041251447186,0.17441018110541817,False
LT2,SampEn    60s,GBM n=200,2.4312256262889043,0.9680622881252136,0.8045143724165164,0.8889051667196477,0.18852392228476456,False
LT2,SampEn    30s,GBM n=200,2.4316657321958335,0.9849212938584474,0.8031548034602564,0.8872529074365381,0.18896402819169378,False
LT2,SampEn   120s,GBM n=200,2.4407388655197506,1.031234710336826,0.8004096531888916,0.8873342866350655,0.1980371615156109,False
LT2,SampEn   120s,Huber ε=1.35,2.4838406118451184,1.1417752878969383,0.7833958339831526,0.8903440771678885,0.2411389078409787,False
LT2,Trend CV 120s,RF n=200,2.562938595309651,0.8482786471158649,0.7668800262568192,0.8748023996623417,0.32023689130551114,False
LT2,SampEn    30s,RF n=200,2.565786303890303,0.8462970271761395,0.766394647388334,0.8742730301188449,0.3230845998861631,False
LT2,Trend CV  30s,RF n=200,2.568927710256266,0.845252221397947,0.7658723910682192,0.8740815785454903,0.3262260062521265,False
