sigma_p,sigma_obs,kalman_mae,r2,rho,feature_set,target
15,200,2.4933,0.793,0.907,EMG+NIRS,lt1
15,300,2.4783,0.798,0.91,EMG+NIRS,lt1
15,500,2.4548,0.803,0.913,EMG+NIRS,lt1
25,30,2.6438,0.762,0.89,EMG+NIRS,lt1
25,60,2.6106,0.769,0.894,EMG+NIRS,lt1
25,100,2.5741,0.776,0.897,EMG+NIRS,lt1
25,150,2.542,0.782,0.901,EMG+NIRS,lt1
25,200,2.5213,0.787,0.903,EMG+NIRS,lt1
25,300,2.4981,0.792,0.906,EMG+NIRS,lt1
25,500,2.4783,0.798,0.91,EMG+NIRS,lt1
40,30,2.657,0.759,0.888,EMG+NIRS,lt1
40,60,2.6347,0.764,0.891,EMG+NIRS,lt1
40,100,2.608,0.77,0.894,EMG+NIRS,lt1
40,150,2.5792,0.775,0.897,EMG+NIRS,lt1
40,200,2.5562,0.78,0.899,EMG+NIRS,lt1
40,300,2.5255,0.786,0.903,EMG+NIRS,lt1
40,500,2.4962,0.792,0.906,EMG+NIRS,lt1
60,30,2.6642,0.757,0.887,EMG+NIRS,lt1
60,60,2.6497,0.761,0.889,EMG+NIRS,lt1
60,100,2.6299,0.765,0.891,EMG+NIRS,lt1
60,150,2.608,0.77,0.894,EMG+NIRS,lt1
60,200,2.5883,0.773,0.896,EMG+NIRS,lt1
60,300,2.5562,0.78,0.899,EMG+NIRS,lt1
60,500,2.5186,0.787,0.903,EMG+NIRS,lt1
90,30,2.6683,0.756,0.887,EMG+NIRS,lt1
90,60,2.6595,0.758,0.888,EMG+NIRS,lt1
90,100,2.6464,0.761,0.89,EMG+NIRS,lt1
90,150,2.6299,0.765,0.891,EMG+NIRS,lt1
90,200,2.6152,0.768,0.893,EMG+NIRS,lt1
90,300,2.5883,0.773,0.896,EMG+NIRS,lt1
90,500,2.548,0.781,0.9,EMG+NIRS,lt1
5,30,2.2457,0.795,0.896,EMG+NIRS+HRV,lt1
5,60,2.1999,0.805,0.903,EMG+NIRS+HRV,lt1
5,100,2.1559,0.813,0.908,EMG+NIRS+HRV,lt1
5,150,2.1222,0.82,0.913,EMG+NIRS+HRV,lt1
5,200,2.106,0.824,0.917,EMG+NIRS+HRV,lt1
5,300,2.112,0.829,0.92,EMG+NIRS+HRV,lt1
5,500,2.1409,0.829,0.922,EMG+NIRS+HRV,lt1
10,30,2.2804,0.788,0.891,EMG+NIRS+HRV,lt1
10,60,2.2457,0.795,0.896,EMG+NIRS+HRV,lt1
10,100,2.2134,0.802,0.901,EMG+NIRS+HRV,lt1
10,150,2.182,0.809,0.905,EMG+NIRS+HRV,lt1
10,200,2.1559,0.813,0.908,EMG+NIRS+HRV,lt1
10,300,2.1222,0.82,0.913,EMG+NIRS+HRV,lt1
10,500,2.1052,0.827,0.919,EMG+NIRS+HRV,lt1
15,30,2.2949,0.785,0.888,EMG+NIRS+HRV,lt1
15,60,2.2673,0.791,0.893,EMG+NIRS+HRV,lt1
15,100,2.2398,0.797,0.897,EMG+NIRS+HRV,lt1
15,150,2.2134,0.802,0.901,EMG+NIRS+HRV,lt1
15,200,2.1917,0.807,0.904,EMG+NIRS+HRV,lt1
15,300,2.1559,0.813,0.908,EMG+NIRS+HRV,lt1
15,500,2.1145,0.822,0.914,EMG+NIRS+HRV,lt1
25,30,2.3084,0.782,0.886,EMG+NIRS+HRV,lt1
25,60,2.2886,0.786,0.889,EMG+NIRS+HRV,lt1
25,100,2.2673,0.791,0.893,EMG+NIRS+HRV,lt1
25,150,2.2457,0.795,0.896,EMG+NIRS+HRV,lt1
25,200,2.2285,0.799,0.899,EMG+NIRS+HRV,lt1
25,300,2.1999,0.805,0.903,EMG+NIRS+HRV,lt1
25,500,2.1559,0.813,0.908,EMG+NIRS+HRV,lt1
40,30,2.3168,0.781,0.885,EMG+NIRS+HRV,lt1
40,60,2.3033,0.783,0.887,EMG+NIRS+HRV,lt1
40,100,2.2872,0.786,0.89,EMG+NIRS+HRV,lt1
40,150,2.2705,0.79,0.892,EMG+NIRS+HRV,lt1
40,200,2.2558,0.793,0.894,EMG+NIRS+HRV,lt1
40,300,2.2327,0.798,0.898,EMG+NIRS+HRV,lt1
40,500,2.1968,0.806,0.903,EMG+NIRS+HRV,lt1
60,30,2.3213,0.78,0.884,EMG+NIRS+HRV,lt1
60,60,2.312,0.781,0.886,EMG+NIRS+HRV,lt1
60,100,2.3005,0.784,0.888,EMG+NIRS+HRV,lt1
60,150,2.2872,0.786,0.89,EMG+NIRS+HRV,lt1
60,200,2.2759,0.789,0.891,EMG+NIRS+HRV,lt1
60,300,2.2558,0.793,0.894,EMG+NIRS+HRV,lt1
60,500,2.2258,0.8,0.899,EMG+NIRS+HRV,lt1
90,30,2.3244,0.779,0.884,EMG+NIRS+HRV,lt1
90,60,2.3183,0.78,0.885,EMG+NIRS+HRV,lt1
90,100,2.31,0.782,0.886,EMG+NIRS+HRV,lt1
90,150,2.3005,0.784,0.888,EMG+NIRS+HRV,lt1
90,200,2.2913,0.786,0.889,EMG+NIRS+HRV,lt1
90,300,2.2759,0.789,0.891,EMG+NIRS+HRV,lt1
90,500,2.25,0.794,0.895,EMG+NIRS+HRV,lt1
