version,family,variant,has_cwt,arch_type,step_label,arch_label,feature_set,target,mae_raw,mae_kalman,best_sigma,kalman_5,kalman_10,kalman_15,kalman_20,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,bias,calib,ps_mae_mean,ps_mae_std,delta_v0011,best_nn_mae,delta_best_nn
v0310,LSTM,noabs,True,Stateful,15с,Stateful 15с +CWT,EMG,lt1,4.6737,4.7549,5.0,4.7549,4.8682,4.967,5.0515,5.1737,5.2985,5.3646,5.6073,0.247,0.631,0.5824,0.903,4.155,2.4755,1.2106,3.0751,1.6798
v0310,LSTM,noabs,True,Stateful,15с,Stateful 15с +CWT,EMG+NIRS,lt1,4.0807,4.1634,5.0,4.1634,4.2874,4.4052,4.5172,4.7104,5.0127,5.2957,5.6992,0.362,0.689,0.7115,0.884,3.5209,2.5061,0.764,3.0751,1.0883
v0310,LSTM,noabs,True,Stateful,15с,Stateful 15с +CWT,EMG+NIRS+HRV,lt1,4.1919,4.2619,5.0,4.2619,4.3626,4.4627,4.5583,4.7192,4.9885,5.2724,5.7011,0.263,0.665,0.9768,0.903,3.5397,2.9166,1.2091,3.0751,1.1868
v0311,LSTM,noabs,False,Stateful,5с,Stateful 5с,EMG,lt1,4.5418,4.5723,5.0,4.5723,4.6139,4.6532,4.691,4.7608,4.8829,5.0045,5.2799,0.289,0.664,0.918,0.891,4.1719,2.0198,1.028,3.0751,1.4972
v0311,LSTM,noabs,False,Stateful,5с,Stateful 5с,EMG+NIRS,lt1,3.7694,3.7976,5.0,3.7976,3.8396,3.8833,3.9272,4.0107,4.1629,4.3264,4.6818,0.509,0.747,-0.0566,0.901,3.5097,1.6611,0.3982,3.0751,0.7225
v0311,LSTM,noabs,False,Stateful,5с,Stateful 5с,EMG+NIRS+HRV,lt1,3.8697,3.8974,5.0,3.8974,3.9335,3.968,4.0007,4.0641,4.1771,4.2944,4.5796,0.5,0.751,0.0898,0.925,3.5882,1.7106,0.8446,3.0751,0.8223
v0312,LSTM,noabs,True,Stateful,5с,Stateful 5с +CWT,EMG,lt1,4.6524,4.6779,5.0,4.6779,4.7147,4.7508,4.7856,4.8521,4.9736,5.1065,5.4159,0.084,0.533,1.012,0.861,4.1066,2.9042,1.1336,3.0751,1.6028
v0312,LSTM,noabs,True,Stateful,5с,Stateful 5с +CWT,EMG+NIRS,lt1,4.8109,4.8409,5.0,4.8409,4.885,4.929,4.9724,5.0566,5.2106,5.3622,5.6657,0.116,0.618,0.6778,0.996,4.1737,2.9717,1.4415,3.0751,1.7658
v0312,LSTM,noabs,True,Stateful,5с,Stateful 5с +CWT,EMG+NIRS+HRV,lt1,4.0924,4.1271,5.0,4.1271,4.1766,4.2262,4.2753,4.3693,4.5432,4.7263,5.1496,0.372,0.683,0.7416,0.887,3.5891,2.3398,1.0743,3.0751,1.052
v0313,LSTM,noabs,False,Attention,30с,Attention 30с,EMG,lt1,3.6709,3.6844,5.0,3.6844,3.7097,3.7346,3.7582,3.8015,3.874,3.9389,4.0388,0.275,0.613,0.3118,0.794,3.4589,1.6568,0.1401,3.0751,0.6093
v0313,LSTM,noabs,False,Attention,30с,Attention 30с,EMG+NIRS,lt1,3.2569,3.2618,5.0,3.2618,3.2776,3.2932,3.3073,3.3323,3.3789,3.449,3.6104,0.401,0.663,0.2068,0.8,3.1139,1.6402,-0.1376,3.0751,0.1867
v0313,LSTM,noabs,False,Attention,30с,Attention 30с,EMG+NIRS+HRV,lt1,3.0617,3.0751,5.0,3.0751,3.1038,3.1348,3.1652,3.2222,3.3239,3.4301,3.6466,0.427,0.683,-0.0117,0.753,2.7373,1.6809,0.0223,3.0751,0.0
v0314,LSTM,noabs,True,Attention,30с,Attention 30с +CWT,EMG,lt1,3.726,3.7397,5.0,3.7397,3.764,3.7875,3.8095,3.8488,3.9166,3.9858,4.1117,0.247,0.606,0.0386,0.853,3.4283,1.8106,0.1954,3.0751,0.6646
v0314,LSTM,noabs,True,Attention,30с,Attention 30с +CWT,EMG+NIRS,lt1,3.2172,3.227,5.0,3.227,3.2511,3.2743,3.2967,3.3383,3.413,3.5008,3.7084,0.419,0.686,0.0904,0.799,2.9282,1.5184,-0.1724,3.0751,0.1519
v0314,LSTM,noabs,True,Attention,30с,Attention 30с +CWT,EMG+NIRS+HRV,lt1,3.175,3.1878,5.0,3.1878,3.2146,3.2421,3.2687,3.3198,3.4134,3.5252,3.7752,0.378,0.658,0.1334,0.798,2.7708,1.8266,0.135,3.0751,0.1127
v0317,LSTM,noabs,False,Attention,15с,Attention 15с,EMG,lt1,3.8987,3.9125,5.0,3.9125,3.9405,3.9685,3.9957,4.0487,4.1495,4.252,4.4636,0.349,0.658,0.7851,0.754,3.4903,1.9453,0.3682,3.0751,0.8374
v0317,LSTM,noabs,False,Attention,15с,Attention 15с,EMG+NIRS,lt1,3.4208,3.4389,5.0,3.4389,3.4733,3.5086,3.5439,3.6121,3.7423,3.8729,4.1384,0.508,0.751,0.7242,0.773,3.0687,1.7059,0.0395,3.0751,0.3638
